순번,장소,구분,제한속도,위도,경도
53,남구 문수로 옥동초(공업탑),신호,60,,
54,남구 번영로 KBS사거리(남구청),신호,60,,
55,울주군 온산읍 남창로 온산삼거리(부산),신호,80,,
56,동구 주전로(남목),속도,50,,
57,남구 남부순환도로 옥현주공APT(옥현),신호,70,,
58,울주군 온산읍 덕신로 기산교차로(온산공단),속도,60,,
59,울주군 온산읍 덕신로 온산읍사무소(덕신),속도,60,,
60,북구 화산중앙로 화봉휴먼시아(공항),신호,60,,
61,남구 남부순환도로 중간갈티마을(감나무진),신호,80,,
62,중구 북부순환도로 서동사거리(북구청),속도,60,,
63,북구 산업로 신답삼거리(공항),속도,70,,
64,동구 주전로(주전),속도,50,,
65,울주군 삼남면 반구대로 메가마트(언양),속도,60,,
66,울주군 서생면 해맞이로 강월교(울산),속도,50,,
67,울주군 범서읍 대리로 호연초등학교(굴화),속도,50,35.5687617,129.2476704
68,남구 삼산로 번영사거리(공업탑),신호,60,,
69,북구 산업로 약수마을(공항),신호,70,,
70,북구 매곡로 매곡교차로(호계),신호,50,,
71,울주군 상북면 봉화로 부로산교차로(언양),신호,60,,
72,울주군 상북면 봉화로 천전1교차로(언양),신호,60,,
73,울주군 상북면 봉화로 천전2교차로(상북),신호,60,,
74,남구 산업로 SK합성수지(변전소),신호,70,,
75,남구 산업로 SK합성수지(두왕),신호,70,,
76,남구 돋질로 남구청사거리(시청),신호,60,,
77,울주군 상북면 울밀로 장성교(언양),속도,80,,
78,동구 미포산업로 마성터널(남목),신호,60,,
79,울주군 서생면 해맞이로 솔개공원(간절곶),속도,50,,
80,중구 북부순환로 테크노삼거리(신복),신호,70,,
81,북구 농서로 달천고사거리농서초교(호계),신호,50,,
82,남구 산업로 영락원입구(여천오거리),신호,70,,
83,북구 염포로 자동차문화회관앞(효문),신호,60,,
84,울주군 두서면 반구대로 두동입구사거리(경주),신호,80,35.6173917,129.1299763
85,울주군 온산읍 당월로 정일부두삼거리(울산),신호,60,,
86,중구 다전로 정밀화학지원센터앞(태화동),속도,60,,
87,남구 삼호로 시영아파트(정광사),속도,60,,
88,남구 중앙로 수암초등학교(롯데캐슬),속도,30,,
89,동구 문현로 화암초입구(꽃바위),속도,50,,
90,울주군 두동면 반구대로 반구대입구(경주),속도,80,35.6131699,129.1181211
91,울주군 삼남면 반구대로 교동삼거리(양산),속도,70,,
92,울주군 범서읍 관문로 영신노인복지회관(울산),속도,50,35.6122496,129.278106
93,울주군 청량읍 청량로 상남교차로(두왕),속도,80,,
94,울주군 청량읍 남창로 제네삼거리(온양),속도,60,,
95,울주군 두동면 반구대로 열박재교차로(언양),신호,80,35.6200259,129.1493032
96,남구 무거동 북부순환도로 무거위브자이(신복),신호,60,,
97,북구 산업로 천곡사거리(경주),신호,70,,
98,울주군 온산읍 온산로 처용삼거리(울산),신호,80,,
99,울주군 청량읍 웅촌로 울주군청(문수초),속도,70,,
100,울주군 범서읍 장검길 무거초교사거리,신호,50,35.5508195,129.2502818
101,남구 봉월로 봉월사거리(공업탑),신호,60,,
102,북구 천곡남로 쇠부리체육공원(천곡),속도,40,,
103,울주군 온양읍 남창로 외고산삼거리(울산),신호,80,,
104,울주군 범서읍 두동로 선바위교삼거리(두동),신호,50,35.5780937,129.232116
105,중구 다운로 척과천물놀이장(척과),속도,60,,
106,울주군 두동면 두동로 남명마을입구(경주),속도,50,35.671112,129.1741398
107,남구 문수로 군청사거리(공업탑),신호,60,,
108,남구 문수로 군청사거리(옥현),신호,60,,
109,남구 처용로 성암삼거리(용연),신호,60,,
110,남구 처용로 성암로입구(부곡),신호,60,,
111,남구 처용로 용연사거리(화력발전),신호,60,,
112,동구 방어진순환로 성내삼거리(염포),신호,60,,
113,울주군 청량읍 온산로 용암마을(울산),신호,80,,
114,북구 진장유통로 롯데마트삼거리(화봉),신호,50,,
115,남구 두왕동 남창로 신두왕사거리(울산),신호,80,,
116,울주군 온산읍 개운로 처용사거리(개운교),신호,70,,
117,울주군 온산읍 청량로 신기교차로(서생),신호,80,,
118,울주군 청량읍 청량로 상남교차로(온산),속도,80,,
119,중구 염포로 학성초등학교(효문),신호,60,,
120,울주군 장검길 문수산파밀리에(문거초),신호,50,,
121,남구 부곡동 용잠로 FCC삼거리(용잠),신호,60,,
122,울주군 온산읍 이진로 고려아연(덕신),속도,50,,
123,남구 부곡동 처용로 부곡사거리(SK),신호,60,,
124,남구 부곡동 처용로 사평삼거리(용연),신호,60,,
125,울주군 온산읍 당월로 S오일후문(청량),신호,60,,
126,울주군 온산읍 당월로 S오일후문(서생),신호,60,,
127,남구 산업로 선암초삼거리(두왕),신호,70,,
128,울주군 청량읍 웅촌로 문수사입구(무거),신호,70,,
129,울주군 청량읍 웅촌로 문수사입구(부산),신호,70,,
130,중구 북부순환도로 혜인학교(중구청),신호,70,,
131,동구 염포산터널(아산로),속도,60,,
132,동구 염포산요금소 시점1차로,구간,70,,
133,동구 염포산요금소 시점2차로,구간,70,,
134,남구 울산대교 종점1차로,구간,70,,
135,남구 울산대교 종점2차로,구간,70,,
136,남구 울산대교 시점1차로,구간,70,,
137,남구 울산대교 시점2차로,구간,70,,
138,동구 염포산요금소 종점1차로,구간,70,,
139,동구 염포산요금소 종점2차로,구간,70,,
140,남구 장생포로 경동이엔에스(여천),신호,60,,
141,동구 봉수로 동구보건소(동구청),신호,60,,
142,동구 봉수로 동구보건소(남목),신호,60,,
143,동구 대송로 일산초사거리(중공업),신호,60,,
144,동구 방어진순환도로 예전부두(염포),신호,60,,
145,남구 봉월로 신정초앞(태화로터리),신호,60,,
146,중구 화합로 약사초등학교(반구),신호,50,,
147,남구 용연로 SK-PDH공장(용연사거리),신호,60,,
148,중구 북부순환도로 다운사거리(무거),신호,70,,
149,북구 산업로 명촌정문(태화강역),신호,70,,
150,북구 산업로 화봉사거리(태화강역),신호,70,,
151,중구 번영로 복산사거리(중부서),신호,60,,
152,남구 문수로 옥현사거리(부산),신호,70,,
153,남구 삼산로 달동사거리(공업탑),신호,60,,
154,남구 두왕로 정애골입구(덕하),신호,70,,
155,남구 강남로 세양청구앞(학성교),신호,60,,
156,남구 부두로 노벨리스후문(부두),신호,70,,
157,동구 방어진순환도로 솔밭삼거리(남목),신호,60,,
158,동구 봉수로 한마음회관삼거리(남목),신호,60,,
159,울주군 웅촌면 웅촌로 곡천삼거리(울산),신호,70,,
160,울주군 언양읍 반구대로 신화마을(언양),신호,60,,
161,울주군 두서면 반구대로 신전삼거리(경주),신호,80,35.6567776,129.1669255
162,울주군 두동면 반구대로 천전삼거리(언양),신호,80,35.617393,129.1475395
163,울주군 범서읍 울밀로 장검마을입구(울산),신호,60,35.5647146,129.2180005
164,울주군 청량읍 온산로 덕하장터삼거리(시내),신호,80,,
165,울주군 청량읍 남창로 제네삼거리(울산),신호,60,,
166,북구 산업로 경제진흥원(태화강역),속도,70,,
167,남구 삼산로 삼산사거리(태화강역),속도,60,,
168,남구 문수로 문수구장정문(공압탑),속도,70,,
169,남구 남산로 정광로입구(삼호교),속도,60,,
170,동구 방어진순환도로 서부패밀리아파트(동부서),속도,60,,
171,울주군 언양읍 반구대로 반곡초등학교(경주),속도,60,,
172,울주군 범서읍 울밀로 진목마을(울산),속도,80,35.5719264,129.1998697
173,울주군 온산읍 공단로 일성앞(서생),속도,80,,
174,울주군 온산읍 공단로 한국제지앞(울산),속도,80,,
175,울주군 서생면 해맞이로 나사마을(부산),속도,50,,
176,울주군 범서읍 두동로 범서중리마을(울산),속도,50,35.5664745,129.2479307
177,남구 삼호로 소나무경로당(태화교),속도,60,,
178,동구 방어진순환도로 남목고개(염포),속도,60,,
179,울주군 범서읍 관문로 범서먹골마을(울산),속도,50,35.6282479,129.2719638
180,울주군 상북면 울밀로 덕현교차로(울산),속도,80,,
181,울주군 언양읍 울밀로 언양교차로(밀양),속도,80,,
182,울주군 언양읍 울밀로 대천교(언양),속도,80,,
183,울주군 언양읍 울밀로 대천교(밀양),속도,80,,
184,울주군 언양읍 울밀로 무동교(울산),속도,80,,
185,울주군 서생면 해맞이로 신암농협(부산),속도,50,,
186,울주군 두서면 반구대로 가정마을(경주),신호,80,35.6173917,129.1321703
187,중구 태화로 난곡사거리(태화교),신호,60,,
188,중구 북부순환도로 다운사거리(중구청),신호,70,,
189,남구 두왕로 개운초등학교(공업탑),신호,70,,
190,동구 염포로 현대자동차정문(염포),신호,60,,
191,울주군 반구대로 반곡초등학교(언양),신호,60,35.6031833,129.139078
192,울주군 삼남면 반구대로 공암마을(언양),신호,70,,
193,울주군 온산읍 덕신외로 덕동교차로(온양),속도,70,,
194,울주군 청량읍 울산산단로 신용암교(청량),속도,80,,
195,울주군 청량읍 울산산단로 외황강교(용연),속도,80,,
196,중구 번영로 MBC사거리(번영교),신호,60,,
197,북구 염포로 코오롱하늘채(염포),신호,60,,
198,북구 화산중앙로 화봉휴먼시아(오토밸리로),신호,60,,
199,중구 길촌길 에일린의뜰3(교육청),신호,40,,
200,남구 처용로 처용암삼거리(청량),신호,60,,
201,남구 처용산업로 황성삼거리(용연),신호,80,,
202,남구 강남로 중앙하이츠(번영교),신호,60,,
203,남구 여천로 만수삼거리(여천),신호,60,,
204,남구 용잠로 SK반출문(부곡),신호,60,,
205,남구 삼산로 목화예식장(공업탑),신호,60,,
206,동구 봉수로 전하체육센터(남목),신호,60,,
207,동구 방어진순환도로 방어진사거리(동부서),신호,60,,
208,동구 방어진순환도로 방어진사거리(염포),신호,60,,
209,울주군 청량읍 처용산업로 용암교차로,신호,60,,
210,울주군 범서읍 관문로 두산교차로(울산),신호,50,35.6274232,129.2754302
211,울주군 삼남면 반구대로 벌장마을(양산),신호,60,,
212,울주군 언양읍 반구대로 언양터미널사거리(양산),신호,60,,
213,울주군 온양읍 남창로 남창삼거리(부산),신호,60,,
214,중구 북부순환도로 우정I파크사거리(교육청),신호,70,,
215,중구 북부순환도로 삼환아파트(중구청),신호,70,,
216,중구 북부순환도로 서동로터리(북구청),신호,70,,
217,중구 북부순환도로 서동로터리(중구청),신호,70,,
218,중구 동천서로 서동로터리(KCC),신호,70,,
219,중구 북부순환도로 사곡천교차로(삼호교),신호,70,,
220,동구 미포산단로 신전교차로(강동),신호,60,,
221,동구 미포산단로 황토전교(주전),속도,60,,
222,울주군 언양읍 반천반송산업로 반천산업단지(반송),속도,50,,
223,울주군 청량읍 온산로 청백교삼거리(온산),신호,80,,
224,울주군 청량읍 온산로 청백교삼거리(덕하),속도,80,,
225,울주군 청량읍 온산로 청량신촌마을(덕하),신호,80,,
226,울주군 청량읍 온산로 청량신촌마을(온산),속도,80,,
227,울주군 언양읍 대암둔기로 반송황새골(삼동),신호,50,,
228,울주군 언양읍 언양로 반천세명아파트(울산),신호,50,,
229,중구 명륜로 태화루사거리(향교),신호,60,,
230,울주군 언양읍 언양로 반송대방아파트(언양),신호,50,,
231,울주군 서생면 해맞이로 서생한수원사택,신호,50,,
232,중구 번영로 삼성래미안2차(번영교),신호,60,,
233,남구 번영로 번영로코아루(야음),신호,60,,
234,남구 강남로 학성교남교차로(울산항),신호,60,,
235,울주군 온산읍 산암로 풍산정문(온산항),신호,60,,
236,울주군 온산읍 산암로 풍산정문(덕신),신호,60,,
237,북구 오토밸리로 화봉IC(경주),속도,70,,
238,북구 오토밸리로 송정IC(효문),속도,70,,
239,중구 태화로 학성여중앞(다운),속도,60,,
240,중구 강북로 학성배수장(아산로),속도,60,,
241,남구 문수로 문수구장정문(부산),속도,70,,
242,동구 미포산단로 방어진수질사업소(주전),속도,60,,
243,북구 염포로 염포중리마을(효문),속도,60,,
244,북구 번영로 차량등록사업소(중부서),신호,60,,
245,중구 염포로 동천체육관(반구),신호,60,,
246,남구 처용로 SK삼거리(용연),신호,60,,
247,남구 울밀로 문수고교(삼호),신호,60,,
248,남구 개운로 개운삼거리(SK),신호,60,,
249,남구 중앙로 시청사거리(태화교),신호,60,,
250,울주군 두서면 반구대로 신전삼거리(언양),신호,80,35.6567776,129.1669255
251,울주군 온산읍 온산로 외항로입구(온산),신호,80,,
252,울주군 청량읍 웅촌로 율현마을(부산),신호,70,,
253,울주군 범서읍 울밀로 장검마을입구(언양),신호,60,35.5393788,129.227639
254,중구 성안로 함월고가교(북정),속도,50,,
255,중구 종가로 함월삼거리(다운),신호,60,,
256,중구 종가로 교육청사거리(중구청),신호,60,,
257,중구 종가로 약사고사거리(경찰청),신호,60,,
258,중구 달빛로 약사마을(서동),신호,60,,
259,중구 종가로 외솔초교(동천서로),신호,60,,
260,중구 종가로 외솔중삼거리(경찰청),신호,60,,
261,중구 동천서로사거리(서동),신호,60,,
262,중구 동천서로사거리(농소),신호,60,,
263,중구 종가로 최제우유허지(교육청),신호,60,,
264,중구 종가로 그린에비뉴(경찰청),신호,60,,
265,중구 종가로 장현골드클래스(중구청),신호,60,,
266,북구 염포로 코오롱하늘채(효문),신호,60,,
267,북구 산업로 효문사거리(경주),신호,70,,
268,북구 산업로 효문사거리(태화강역),신호,70,,
269,남구 번영로 번영사거리(번영교),신호,60,,
270,남구 여천로 한국USG보랄(울산항),신호,60,,
271,울주군 언양읍 언양로 언양반송마을(울산),신호,50,,
272,중구 태화로 우정버스중앙차로(번영교),신호,60,,
273,남구 장생포순환도로 해양수산청(부두),신호,50,,
274,남구 장생포순환도로 일반부두(해양수산청),신호,50,,
275,울주군 청량면 삼정로 청량중학교(덕정),신호,40,,
276,울주군 청량면 삼정로 청량초등학교(덕정),신호,30,,
277,울주군 청량면 온산로 청량중입구(울산),신호,80,,
278,울주군 청량면 덕하로 덕하수자인(청량초),신호,30,,
279,울주군 범서읍 울산고속도로입구12,속도,70,35.597579,129.2097499
280,울주군 범서읍 울산고속도로입구34,속도,70,35.597579,129.2097499
281,북구 동천서로 문형(병영),속도,80,,
282,중구 다전로 다운중삼거리(범서),속도,60,,
283,중구 강북로 강변주차장(번영교),속도,60,,
284,북구 산업로 상안교사거리(경주),신호,70,,
285,북구 산업로 화봉사거리(경주),신호,70,,
286,중구 다운로 연화탕(삼호교),신호,60,,
287,남구 북부순환도로 삼호교남교차로(중구청),신호,60,,
288,남구 남부순환도로 갈현마을입구(옥현),속도,80,,
289,남구 산업로 여천교삼거리(태화강역),속도,70,,
290,남구 삼호로 정광사삼거리(신복),속도,60,,
291,남구 산업로 선암역(두왕),속도,70,,
292,남구 남산로 태화강전망대(신복),신호,60,,
293,남구 남산로 태화강전망대(태화교),신호,60,,
294,남구 남부순환도로 옥현주공아파트(신복),신호,70,,
295,남구 문수로 공원묘지(공업탑),신호,70,,
296,남구 삼산로 동평사거리(태화강역),신호,60,,
297,남구 삼산로 터미널사거리(공업탑),신호,60,,
298,남구 강남로 남부소방서앞(태화교),구간,60,,
299,남구 강남로 강남고교(태화교),구간,60,,
300,동구 방어진순환로 미포조선신호대(방어진),속도,70,,
301,북구 무룡로 신현교차로(울산),속도,60,,
302,동구 방어진순환로 일산해수욕장(동부서),신호,60,,
303,동구 방어진순환로 오지벌사거리(동부서),신호,60,,
304,동구 봉수로 울산과학대(동구청),신호,40,,
305,울주군 서생면 해맞이로 송정마을(진하),속도,80,,
306,울주군 온양읍 남창로 화철령고개(온양),속도,70,,
307,울주군 웅천면 웅촌로 원당골사거리(부산),신호,70,,
308,울주군 웅촌면 웅촌로 하대마을(부산),신호,50,,
309,울주군 두동면 두동로 하리마을(울산),속도,60,35.6712256,129.1734578
310,남구 화합로 터미널사거리(학성교),신호,60,,
311,북구 이예로 가대교차로(옥동),속도,80,,
312,북구 이예로 가대교차로(농소),속도,80,,
313,북구 이예로 달천교차로(옥동),속도,80,,
314,북구 이예로 달천교차로(농소),속도,80,,
315,북구 이예로 천곡교차로(옥동),속도,60,,
316,북구 이예로 천곡교차로(농소),속도,60,,
317,북구 오토밸리로 호계IC(경주),속도,70,,
318,북구 오토밸리로 호계IC(효문),속도,70,,
319,북구 오토밸리로 원지저수지(경주),속도,70,,
320,북구 오토밸리로 원지저수지(효문),속도,70,,
321,북구 농서로 달천농공단지앞(성안),신호,50,,
322,북구 농서로 달천농공단지앞(농소),신호,50,,
323,중구 달빛로 성안사거리(서동),신호,60,,
324,중구 달빛로 성안사거리(농소),신호,60,,
325,중구 성안로 경찰청정문(북정),속도,50,,
326,중구 북부순환도로 원유곡삼거리(교육청),신호,70,,
327,중구 태화로 명정사거리(태화루),신호,60,,
328,울주군 청량면 청량천변로 산단삼거리(진곡마을),속도,50,,
329,중구 북부순환도로 삼일초등학교앞(북구청),신호,70,,
330,남구 화합로 세원WE아파트(터미널),신호,60,,
331,동구 방어진순환도로 현대미포조선정문(염포),신호,60,,
332,울주군 덕신로 온산오거리(온양),신호,50,35.4350936,129.303389
333,북구 오토밸리로 매곡월드메르디앙(경주),속도,70,,
334,북구 오토밸리로 매곡월드메르디앙(효문),속도,70,,
335,북구 신천로 신천효성해링턴(매곡),신호,30,,
336,북구 신천로 신천효성해링턴(천곡),신호,30,,
337,북구 신천로 신천극동스타클래스(매곡),신호,30,,
338,울산시 북구 신천로 신천극동스타클래스(천곡),신호,30,,
339,북구 동천서로 문형(농소),속도,80,,
340,중구 번영로 약사삼거리(병영),신호,60,,
341,남구 여천로 여천초등학교(수암),신호,30,,
342,동구 방어진순환도로 동구노인요양원(남목),신호,60,,
343,울주군 언양읍 언양로 반천산단입구(울산),신호,50,,
344,울주군 청량읍 웅촌로 울주군청삼거리(울산),신호,70,35.522062,129.240313
345,울주군 서생면 해맞이로 간절곶삼거리,신호,50,,
346,남구 수암로 대현사거리(야음),신호,60,,
347,남구 수암로 대현사거리(공업탑),신호,60,,
348,북구 천곡길 우방아파트(천곡),신호,40,,
349,북구 천곡길 천곡초등학교(이예로),신호,30,,
350,울주군 언양읍 울산역로 울산역근린공원(언양),신호,70,,
351,울주군 언양읍 울산역로 동문굿모닝힐(울산역),신호,70,,
